id,disease,symptoms,medicine,recommandation,specialist,contact,cause
1,kidney stone,"back pain, lower abdomen pain, urinate more often, burning feel when peeing","cirpofloxacin, acetaminophen, ibuprofen","drink more water and avoid or eat less food with high amount of sodium and MSG, eat citrus fruits (lemons & limes)","nephrologists, urologists","Kidney Stone Melbourne, (03) 8506 3644-322, Glenferrie Rd, Malvern","Lack of water consumtion is the primary cause of kidney stone, however, there are few factors should be considered such as consuming high oxalalate food excessively and high consumption of sodium-obesity"
2,osteoporosis,"backache, gradual loss of height, fractures of spine","bosphosphonates, ibandronate acid, risedronic acid","take adequate vitamin D and practice physical activity, no smoking, You should take adequate vitamin D and consider to take physical activity regularly.","orthopedists, rheumalogists","Alfred Hospital, (03) 9076 2000-55, Commercial Rd, Melbourne","The causes of the disease are likely relating to excessive alcohol intake and taking no physical activity. Furthermore, aging and eating disorter can be the possible reasons lead to osteoporosis"
3,asthma,"joint pain and stiffness, redness, fatigue, muscle aches, tenderness","salbutamol, anticholinergic medications, inhaled epinephrine",N/A,"allergist, immunologist, pulmonologist","Parkville Allergy Asthma & Immunology Consultants, (03) 9349 2884, Parkville, Australia","The causes of asthma are not fully understood and researchers continue to investigate genetic and environment factors. People with asthma often have a family history of asthma, eczema and hay fever"
4,hepatitis,"poor appetite, vomitting, tiredness, abdominal pain, diarrhea","antivirals, neuraminidase inhibitors, m2 inhibitors","There is a vaccination available for cure this disease, I think you should visit the closet hospital to get an injection.",hepatologist,"Dr. Gary Crosthwaite, (03) 4231 3451, Glen Waverly, Australia","Excessive alcohol consumption can cause liver damage and inflammation. This is sometimes referred to as alcoholic hepatitis. The alcohol directly injures the cells of your liver. Over time, it can cause permanent damage and lead to liver failure and cirrhosis, a thickening and scarring of the liver"
5,diarrhea,"watery bowel, dehydration","antibiotics, diosmectite","There is a need to improve the water condition in your house, I think you should take sanitation.",gastroenterologist,"The Digestive Health Centre, (03) 7319 0512, Malvern East, Australia","food indiarrhea occurs when the condition lasts for one to two days. You might experience diarrhea as a result of a viral or bacterial infection. Other times, it could be due to food poisoning.tolerance-viral and bacteria infection-intestinal disease"
6,diabetes,"frequent urination, thirst, hunger, headache, fatigue, itchy skin","glucose control, insulin, metformin",N/A,"General care physicians, endocrinologists","Diabetes and General Endocrinology, (03) 1375 4201, Boxhill, Australia","diabete occurs when your immune system, the body system for fighting infection, attacks and destroys the insulin-producing beta cells of the pancreas. Scientists think type 1 diabetes is caused by genes and environmental factors, such as viruses"
7,migraine,"severe headache, eyes hurt, sensitive to light",Calcitonin,"Avoid foods that trigger migraines. This also may reduce the frequency of attacks. Some may find exercises, for example yoga, that promote muscle relaxation are helpful in managing severe pain",general doctor,"Migraine Headache Lab, 03) 1375 4201, Boxhill, Australia","migraine is normally inherited, however, any sudden change in the internal or external environment can also cause migrain headache. Essentially, migraine is caused by the interaction between the brain and the cranial blood vessels."
8,musculoskeletal,"pain in muscle, fatique, sleep disturbances","zolpidem, ralmelteon",N/A,general doctor,"Musculoskeletal Lab, (03) 1375 1111, Keybourough, Australia","The causes of musculoskeletal pain are varied. Muscle tissue can be damaged with the wear and tear of daily activities. Trauma to an area (jerking movements, auto accidents, falls, fractures, sprains, dislocations, and direct blows to the muscle) also can cause musculoskeletal pain"
9,flu,"coughing, sneezingn, high temperature",paramax,N/A,general doctor,"General Clinic, (03) 2608 4891, Springvale, Australia","The flu is caused by influenza viruses that infect the nose, throat, and lungs. These viruses spread when people with flu cough, sneeze or talk, sending droplets with the virus into the air and potentially into the mouths or noses of people who are nearby."
10,alzheime,"memory loss, confusion, poor judgment",N/A,N/A,physician,"Poor Kid Lab, (03) 1301 3173, Clayton, Australia","Genes are passed down from a person's birth parents which can cause alzheime, however, sometime diseases are caused by a genetic mutation, or permanent change in one or more specific genes"
