id,questions,intentLex,intentDialog,T,M,F
77,i want to check my health,healthCheck,NeedSymptoms,1,0,0
171,"coughing,sneezing",healthCheck,Flu,1,0,0
102,which doctor should i visit,GetSpecialist,Flu-Doctor,1,0,0
147,Whet is Recomentation shou i forllow,GetRecommendation,Flu-Recommendation,1,1,0
109,I want some burger,Error handling,Fallback,0,0,1
124,Which medicin shoud i taek,GetMedicine,Fallback,1,1,0
129,I have hurt my ankle during a football game,GetInjury,Sprain Ankle,1,0,0
173,i want to examine my health,healthCheck,NeedSymptoms,1,0,0
71,"joint pain and stifness, redness",healthCheck,Asthma,1,0,0
177,which medcime shuld I taek?,GetMedicine,Asthma-Medication,1,1,0
19,i am sick right now. i want to check my health,healthCheck,NeedSymptoms,1,0,0
29,"pain in muscle, sleep disturbances",healthCheck,Musculoskeletal,1,0,0
37,what can cause musculoskeletal?,GetCauseOfDisease,Musculoskeletal-Cause,1,0,0
141,"hi, i am not feeling well, can you check my health?",healthCheck,NeedSymptoms,1,0,0
62,"poor appetite, vomitting",healthCheck,Hepatitis,1,0,0
113,what kind of medication can you recommend to me?,GetMedicine,Hepatitis-Medication,1,0,0
165,"my brother wants to examine his health, can you help me?",healthCheck,NeedSymptoms,1,0,0
116,"watry bowl, dehidration",healthCheck,Diarrhea,1,1,0
8,what recommendation can you give me,GetRecommendation,Diarrhea-Recommendation,1,0,0
156,"my head hurts, can you examine it?",healthCheck,NeedSymptoms,1,0,0
99,"pain in the region of head, migraine",healthCheck,Headache,1,0,0
73,"hello, how old are you bot?",Error handling,Fallback,0,0,1
111,I want to check my health,healthCheck,NeedSymptoms,1,0,0
50,"memory loss, confusion",healthCheck,Alzheime,1,0,0
18,which specilst can help me ?,GetSpecialist,Alzheime-Doctor,1,1,0
63,"i want to buy some movie tickets, can you give me the schedule?",Error handling,Fallback,0,0,1
149,there is problem with my health and would like to examine it,healthCheck,needSymptoms,1,0,0
14,"severe headache, eyes hurt",healthCheck,Migraine,1,0,0
43,what medication should I take?,GetMedicine,Migraine-Medication,1,0,0
32,my foot hurts after playing soccer today,GetInjury,Fracture Foot,1,0,0
83,i want to check my health,healthCheck,NeedSymptoms,1,0,0
